age,gender,employment_status,annual_income,usage_per_month,top_genre,num_of_days_active
33,Female,Employed full-time,100050,2585,Classical,222
25,Female,Employed full-time,7800,329,Rock,177
40,Female,Employed full-time,24300,1132,Indie,244
54,Female,Employed full-time,32950,2099,Pop,177
41,Female,Employed full-time,25750,284,Country,188
27,Female,Student,3600,142,Jazz,114
27,Female,Employed full-time,22200,234,Pop,215
22,Female,Employed full-time,10300,2388,Indie,193
49,Male,Employed full-time,92200,2485,Classical,138
33,Male,Employed full-time,3950,2968,Country,160
30,Male,Employed full-time,106900,1054,Pop,176
43,Male,Employed full-time,23850,1884,Pop,182
49,Male,Employed full-time,181700,2407,Rock,199
29,Male,Employed full-time,193650,231,Rock,115
41,Female,Employed full-time,18550,1511,Pop,270
26,Female,Employed full-time,750,1833,Country,176
32,Female,Employed full-time,151500,582,Indie,224
18,Male,Student,6400,2669,Country,161
26,Female,Student,13150,124,Rock,161
32,Female,Employed full-time,181800,1670,Jazz,119
17,Male,Student,22250,219,Pop,207
25,Female,Employed full-time,117200,1121,Hip Hop,188
37,Male,Unemployed,5300,2805,Pop,243
19,Male,Student,27550,877,Rock,92
50,Female,Employed full-time,146400,1245,Jazz,195
29,Prefer not to say,Employed full-time,41500,48,Indie,210
47,Male,Employed full-time,132750,1424,Pop,196
31,Male,Employed full-time,18650,2595,Pop,270
24,Male,Employed full-time,52900,2066,Classical,158
33,Female,Employed full-time,20100,1501,Country,186
41,Female,Employed part-time,130150,159,Pop,126
23,Male,Employed full-time,40000,2842,Jazz,119
49,Female,Employed full-time,119250,25,Rock,168
40,Male,Employed part-time,129700,2824,Jazz,189
17,Female,Unemployed,14050,171,Rock,143
20,Female,Employed full-time,140300,2771,Pop,188
20,Other,Student,20500,320,Indie,134
40,Male,Employed full-time,57100,1122,Pop,170
17,Female,Student,24900,42,Pop,197
30,Male,Employed full-time,102100,1190,Classical,237
37,Female,Employed full-time,152150,2946,Hip Hop,158
50,Female,Employed full-time,91500,1168,Pop,225
21,Female,Student,38750,552,Indie,229
35,Female,Employed full-time,134100,376,Pop,240
44,Male,Employed full-time,165600,1263,Pop,154
49,Female,Employed full-time,119600,164,Indie,182
40,Female,Unemployed,145100,218,Pop,59
37,Male,Employed full-time,139750,2302,Rock,114
32,Male,Employed full-time,121350,2682,Pop,151
42,Male,Employed full-time,27350,192,Country,142
48,Female,Employed full-time,112300,544,Rock,207
19,Female,Unemployed,8150,934,Jazz,197
18,Male,Employed full-time,109850,568,Classical,212
21,Male,Employed full-time,111150,2336,Pop,165
50,Male,Employed full-time,121150,2464,Pop,219
27,Male,Employed full-time,6400,923,Pop,296
45,Male,Employed full-time,22700,1671,Pop,198
16,Female,Student,25100,41,Rock,133
21,Female,Student,100100,63,Pop,206
25,Female,Student,46800,124,Pop,123
34,Male,Employed full-time,137150,1000,Rock,104
49,Male,Employed full-time,23150,1672,Pop,125
45,Female,Employed part-time,19100,1374,Pop,209
38,Male,Employed full-time,151600,1013,Pop,224
35,Male,Employed full-time,9400,2591,Pop,241
50,Male,Employed full-time,92450,497,Country,204
44,Male,Employed full-time,7900,890,Pop,222
32,Male,Employed full-time,198950,402,Classical,220
41,Female,Employed full-time,199800,161,Pop,234
18,Male,Student,29250,14,Pop,169
27,Female,Employed full-time,20500,248,Pop,180
45,Male,Employed full-time,10200,2815,Classical,155
33,Male,Employed full-time,135150,616,Jazz,194
37,Female,Employed full-time,91650,1080,Pop,124
45,Female,Employed part-time,42400,2975,Pop,158
32,Female,Unemployed,107300,183,Country,173
27,Male,Employed full-time,113800,1926,Pop,193
24,Female,Employed full-time,111500,340,Pop,144
52,Male,Employed full-time,22650,2672,Pop,216
43,Female,Employed full-time,104950,817,Indie,182
19,Male,Employed full-time,3350,2122,Rock,99
26,Female,Student,21000,1278,Pop,163
41,Male,Employed full-time,107000,1282,Pop,285
31,Male,Employed full-time,122500,1537,Classical,87
49,Male,Employed full-time,91650,2180,Classical,173
31,Female,Employed full-time,5800,29,Classical,203
27,Male,Student,102950,2128,Pop,232
46,Male,Employed full-time,21200,1994,Classical,160
32,Male,Employed full-time,124750,2024,Pop,128
17,Male,Student,25300,2818,Pop,179
48,Male,Employed full-time,110250,2974,Classical,187
17,Male,Student,20550,2282,Country,142
40,Male,Employed full-time,197050,1674,Classical,242
35,Male,Employed full-time,181650,6,Rock,137
60,Female,Employed full-time,21550,729,Rock,201
23,Prefer not to say,Employed full-time,35650,733,Pop,264
50,Female,Employed full-time,95350,582,Indie,204
35,Female,Employed full-time,74000,1974,Hip Hop,198
50,Male,Employed full-time,101300,1729,Indie,196
19,Female,Student,99750,277,Classical,198
42,Female,Employed part-time,112350,1821,Pop,226
44,Male,Employed full-time,112950,2923,Country,179
45,Female,Employed full-time,98150,768,Pop,188
43,Male,Employed full-time,112050,1997,Indie,187
37,Female,Employed part-time,22450,1271,Pop,275
23,Female,Student,59000,1158,Rock,138
26,Female,Unemployed,39600,68,Rock,168
37,Female,Employed full-time,11150,2431,Pop,166
48,Male,Employed full-time,128700,617,Rock,177
39,Male,Employed full-time,186450,2257,Country,136
16,Male,Student,3050,117,Rock,195
39,Male,Employed full-time,160900,2717,Pop,137
34,Female,Employed full-time,102600,266,Indie,188
53,Male,Employed full-time,2000,2914,Country,240
30,Female,Unemployed,105700,210,Rock,139
49,Male,Employed full-time,104700,1829,Rock,170
47,Female,Employed full-time,115350,2305,Classical,174
34,Female,Employed full-time,97450,2846,Pop,136
17,Female,Student,20300,3,Country,195
49,Male,Employed full-time,99650,1887,Pop,220
46,Female,Employed full-time,39500,2401,Country,116
40,Male,Employed full-time,162200,1099,Country,229
31,Female,Employed full-time,101900,2410,Rock,177
31,Female,Employed full-time,101600,64,Classical,186
21,Male,Employed full-time,14350,396,Rock,155
38,Female,Employed full-time,92000,376,Country,223
47,Female,Employed full-time,12400,1466,Pop,252
41,Female,Employed full-time,193000,1515,Pop,150
43,Female,Employed full-time,98300,2007,Country,163
46,Female,Employed full-time,140000,1,Rock,238
35,Female,Employed full-time,57750,2172,Pop,209
21,Female,Employed full-time,98050,2373,Pop,138
38,Female,Unemployed,135650,2758,Pop,233
25,Female,Student,10750,353,Pop,194
40,Female,Employed full-time,96200,1399,Pop,231
20,Male,Employed full-time,172400,643,Country,206
19,Female,Student,20350,56,Classical,176
18,Male,Employed full-time,14350,132,Pop,183
44,Female,Employed full-time,44200,1080,Pop,232
21,Male,Unemployed,11500,2600,Rock,181
38,Male,Employed full-time,171600,1349,Rock,107
49,Female,Employed full-time,108750,1573,Pop,154
45,Female,Employed full-time,185550,1229,Pop,239
35,Female,Employed full-time,191750,40,Hip Hop,246
16,Female,Student,700,187,Indie,135
33,Male,Employed full-time,20750,737,Pop,147
57,Female,Employed full-time,53700,2593,Indie,268
38,Male,Employed full-time,22400,1302,Pop,197
31,Female,Employed full-time,91500,2196,Classical,232
32,Male,Employed full-time,178300,1192,Classical,180
40,Male,Employed full-time,21350,2754,Pop,189
49,Male,Employed full-time,20900,1261,Jazz,159
47,Male,Employed full-time,21550,2169,Classical,218
32,Female,Employed full-time,18900,347,Rock,122
53,Male,Employed full-time,110000,1299,Country,234
16,Female,Student,7700,2000,Pop,188
20,Male,Unemployed,6300,2787,Country,152
22,Male,Student,5350,2045,Indie,131
19,Female,Employed full-time,2300,1980,Pop,134
31,Female,Student,14400,1380,Pop,188
31,Male,Employed full-time,115850,771,Jazz,108
26,Male,Employed full-time,10250,37,Classical,235
40,Male,Employed full-time,139850,1701,Pop,230
33,Female,Employed full-time,27700,1222,Country,258
18,Male,Employed full-time,21400,1950,Rock,167
38,Male,Employed full-time,26250,629,Rock,160
21,Male,Student,22150,6,Rock,222
36,Male,Student,9550,12,Pop,194
25,Female,Employed full-time,21900,59,Pop,237
29,Male,Student,26400,402,Hip Hop,207
47,Male,Employed part-time,48450,2917,Rock,199
24,Male,Employed full-time,28900,995,Pop,178
43,Male,Employed full-time,194750,2909,Pop,185
38,Female,Student,14250,347,Classical,190
39,Male,Employed full-time,23600,2004,Pop,126
50,Male,Employed full-time,96900,2659,Pop,178
35,Female,Employed full-time,5650,304,Pop,253
22,Male,Student,25700,947,Pop,148
36,Male,Unemployed,37550,2043,Classical,219
20,Female,Unemployed,14300,2179,Classical,151
21,Male,Employed full-time,9750,410,Pop,166
19,Female,Employed full-time,22100,809,Pop,122
25,Male,Employed full-time,115950,1927,Pop,153
39,Male,Employed full-time,199400,2618,Rock,165
50,Male,Employed full-time,57050,1523,Pop,194
33,Male,Employed full-time,53900,431,Pop,176
19,Male,Employed full-time,15750,2349,Classical,167
35,Male,Student,19250,1292,Country,210
30,Female,Employed full-time,24800,777,Country,157
33,Male,Employed full-time,25800,429,Rock,260
24,Female,Student,6850,1849,Pop,145
31,Female,Employed full-time,177050,2392,Pop,207
20,Female,Student,14200,61,Pop,68
33,Male,Employed full-time,12750,1312,Classical,134
17,Male,Student,14600,3,Pop,148
39,Female,Employed full-time,189950,2118,Pop,207
46,Male,Employed part-time,121650,1301,Classical,108
30,Female,Employed part-time,14900,302,Indie,175
31,Male,Student,146350,219,Rock,78
33,Female,Employed full-time,19550,1276,Pop,172
48,Female,Employed full-time,10100,1076,Pop,187
39,Male,Student,18750,2011,Pop,207
17,Male,Student,5100,605,Pop,114
27,Female,Employed part-time,17300,2525,Classical,216
45,Male,Employed full-time,18100,26,Rock,149
19,Male,Employed full-time,4250,1782,Classical,204
27,Male,Student,51500,2129,Country,171
22,Male,Employed full-time,2550,306,Pop,231
34,Male,Employed full-time,44050,1388,Pop,248
34,Male,Employed full-time,135700,180,Pop,172
34,Male,Employed full-time,104500,2422,Rock,158
19,Male,Student,41100,1373,Pop,172
46,Male,Employed full-time,46750,1705,Pop,143
43,Female,Employed full-time,14650,1192,Classical,127
47,Male,Employed full-time,35500,2803,Rock,185
28,Male,Employed full-time,36650,1567,Indie,184
18,Female,Employed full-time,31500,1532,Country,197
57,Male,Employed full-time,11550,478,Pop,221
37,Male,Employed full-time,7550,1259,Classical,192
33,Female,Unemployed,22600,524,Rock,173
32,Female,Employed full-time,92300,2409,Country,176
18,Male,Employed full-time,112100,1937,Pop,251
23,Female,Employed part-time,37350,1515,Classical,158
26,Female,Employed full-time,2000,2729,Pop,227
21,Male,Student,51100,1279,Classical,189
30,Female,Employed full-time,47300,1954,Country,153
21,Male,Employed full-time,6050,1046,Pop,231
35,Female,Employed full-time,35300,65,Pop,155
21,Female,Unemployed,5300,268,Jazz,140
29,Female,Student,21900,1013,Pop,205
39,Female,Employed part-time,96900,1209,Pop,273
25,Male,Employed full-time,109850,396,Pop,199
47,Female,Employed full-time,1050,1284,Pop,130
20,Female,Employed full-time,102000,79,Pop,178
17,Male,Student,6050,124,Country,139
29,Female,Student,41300,50,Pop,173
32,Female,Employed full-time,18850,502,Country,252
20,Male,Student,3800,49,Rock,188
25,Female,Employed full-time,650,2965,Country,247
50,Female,Employed full-time,4650,2028,Indie,136
38,Male,Employed full-time,172350,927,Pop,113
22,Male,Student,22850,2323,Pop,165
22,Female,Unemployed,55500,2486,Jazz,146
24,Male,Employed full-time,103800,2499,Indie,160
17,Male,Student,18800,105,Indie,128
27,Male,Student,16900,19,Country,162
37,Female,Employed full-time,13250,2686,Rock,241
18,Male,Student,29550,1853,Rock,193
33,Male,Employed full-time,199100,372,Pop,160
38,Female,Employed full-time,21750,229,Classical,181
31,Male,Employed full-time,18550,1701,Pop,171
27,Male,Student,52450,1852,Country,145
38,Male,Employed full-time,115700,2667,Pop,107
29,Female,Unemployed,185400,2593,Pop,179
22,Male,Student,20850,1440,Pop,115
40,Male,Employed full-time,189350,1252,Pop,182
50,Male,Employed full-time,26150,2783,Rock,168
27,Female,Employed full-time,8950,2978,Classical,190
27,Female,Employed full-time,23900,286,Pop,152
34,Male,Employed full-time,1150,2775,Pop,126
49,Male,Employed full-time,101800,1312,Classical,189
29,Male,Employed part-time,33550,757,Classical,201
20,Female,Employed part-time,22950,7,Pop,189
26,Male,Employed full-time,450,1963,Country,97
35,Male,Employed full-time,14200,37,Classical,180
56,Female,Employed full-time,7450,1160,Pop,176
20,Female,Student,9850,301,Rock,205
27,Male,Employed full-time,15600,1730,Rock,190
24,Male,Employed full-time,17300,332,Jazz,131
31,Male,Employed full-time,110050,1240,Pop,169
25,Male,Employed full-time,23700,1341,Pop,219
38,Male,Employed part-time,49350,35,Jazz,163
22,Female,Employed full-time,7600,251,Jazz,125
28,Female,Student,21850,202,Rock,187
43,Female,Employed full-time,36550,192,Country,191
49,Female,Employed full-time,115350,878,Rock,164
19,Female,Employed full-time,116600,1171,Rock,166
18,Male,Employed full-time,20500,508,Classical,200
23,Male,Employed full-time,20500,2842,Country,129
23,Female,Employed full-time,3500,2277,Country,156
42,Female,Employed full-time,47750,131,Classical,243
33,Male,Employed full-time,25100,1904,Pop,114
26,Male,Employed full-time,4050,134,Rock,98
47,Male,Employed full-time,16200,256,Rock,142
41,Male,Employed full-time,31600,2204,Pop,215
49,Female,Employed full-time,18650,712,Classical,172
38,Female,Employed full-time,149350,1708,Pop,168
23,Male,Employed full-time,23600,1390,Classical,195
50,Other,Employed full-time,17400,824,Pop,162
27,Female,Student,52500,911,Pop,222
20,Male,Employed full-time,1850,677,Classical,236
23,Female,Employed full-time,11900,495,Pop,154
34,Male,Employed full-time,8300,1166,Rock,159
23,Male,Employed full-time,23950,236,Pop,162
42,Male,Employed full-time,166400,1894,Rock,137
30,Male,Employed full-time,111950,199,Rock,31
43,Male,Employed full-time,44900,2841,Pop,179
39,Female,Employed full-time,45400,1026,Indie,225
20,Male,Employed full-time,37650,2629,Pop,172
49,Male,Employed full-time,107200,1698,Classical,202
21,Female,Employed full-time,39500,2278,Country,229
28,Male,Student,24650,892,Country,263
42,Male,Employed full-time,180800,2419,Pop,205
47,Female,Employed full-time,117100,2839,Rock,171
38,Female,Unemployed,91950,2617,Pop,234
23,Female,Employed full-time,8850,2655,Classical,106
48,Female,Employed full-time,28500,895,Pop,112
43,Female,Employed full-time,173650,2610,Pop,202
32,Male,Employed full-time,25600,1128,Indie,233
36,Female,Employed full-time,18050,829,Pop,165
44,Male,Employed full-time,112650,2154,Classical,197
32,Male,Employed part-time,9050,2798,Pop,113
39,Female,Employed full-time,21500,2449,Classical,159
35,Male,Employed full-time,16000,2240,Country,197
25,Male,Employed full-time,24700,2611,Pop,242
44,Male,Employed full-time,119100,190,Pop,195
21,Male,Employed full-time,52050,335,Pop,189
41,Female,Employed full-time,180100,1607,Country,102
16,Female,Student,58550,108,Indie,113
22,Female,Student,8950,1549,Pop,191
21,Male,Student,10000,1763,Pop,154
24,Male,Employed full-time,135200,1138,Pop,173
21,Female,Student,8650,854,Rock,183
39,Female,Employed full-time,24550,798,Indie,177
50,Female,Employed full-time,51850,294,Jazz,219
26,Male,Student,49900,120,Pop,186
25,Female,Unemployed,10650,2540,Pop,242
32,Male,Employed full-time,2850,262,Indie,256
32,Male,Employed full-time,23050,1148,Pop,188
18,Male,Employed full-time,107850,1249,Rock,181
35,Female,Employed full-time,97900,190,Pop,230
16,Male,Student,25300,2005,Classical,211
49,Female,Employed full-time,14400,793,Pop,220
21,Male,Employed full-time,3350,443,Pop,169
41,Female,Employed part-time,115450,1908,Jazz,253
50,Male,Employed full-time,127200,863,Indie,156
42,Female,Employed full-time,113550,34,Classical,135
42,Male,Student,12500,1413,Jazz,127
27,Male,Employed full-time,26850,2347,Rock,135
24,Male,Employed part-time,24400,936,Pop,141
21,Male,Employed full-time,92300,165,Pop,137
35,Male,Student,21650,2257,Jazz,214
24,Male,Employed full-time,35850,468,Pop,208
19,Female,Student,6800,226,Country,159
49,Female,Employed part-time,104550,306,Rock,175
16,Female,Student,6950,107,Hip Hop,213
31,Male,Unemployed,185450,2100,Pop,205
21,Female,Student,8450,1444,Pop,199
21,Male,Student,22050,1505,Pop,132
48,Male,Employed part-time,37750,2906,Indie,212
38,Male,Employed full-time,100900,2315,Pop,137
22,Male,Employed full-time,116250,1852,Pop,216
30,Male,Employed full-time,29150,2817,Pop,150
22,Female,Student,8050,25,Classical,233
24,Male,Student,2100,1757,Rock,241
32,Male,Employed full-time,196300,2812,Pop,91
41,Male,Employed full-time,48900,2256,Pop,238
42,Male,Employed full-time,105100,2991,Pop,147
47,Male,Unemployed,162300,2226,Country,230
50,Female,Employed full-time,14900,956,Pop,262
26,Male,Employed full-time,185950,1683,Jazz,206
26,Prefer not to say,Student,2350,297,Pop,190
31,Male,Employed full-time,137150,980,Country,160
30,Female,Employed full-time,1350,1536,Hip Hop,162
30,Female,Employed full-time,12950,1054,Pop,197
33,Male,Employed full-time,117150,2716,Pop,159
39,Male,Employed full-time,27700,2017,Rock,203
18,Female,Student,26550,1921,Classical,147
24,Female,Employed full-time,3850,629,Jazz,176
48,Male,Employed full-time,111000,1234,Pop,217
21,Female,Employed full-time,27750,74,Rock,121
23,Male,Employed full-time,19450,2930,Rock,137
30,Prefer not to say,Employed part-time,26300,816,Pop,138
40,Female,Employed full-time,8150,30,Classical,177
32,Female,Unemployed,10300,2878,Jazz,130
31,Male,Employed full-time,37150,2762,Rock,261
20,Female,Student,43550,280,Pop,175
33,Male,Employed full-time,172150,1585,Country,99
41,Female,Employed full-time,107000,7,Rock,161
50,Female,Employed full-time,2350,992,Rock,150
49,Male,Employed full-time,94950,409,Pop,249
37,Male,Student,137000,1170,Rock,135
33,Female,Employed full-time,23600,900,Pop,258
19,Female,Employed full-time,96400,1239,Pop,232
37,Female,Student,27150,2072,Pop,206
17,Female,Student,5150,2769,Pop,165
64,Male,Employed full-time,152350,1961,Pop,185
18,Male,Student,12050,137,Pop,185
19,Female,Employed full-time,20050,342,Jazz,159
43,Male,Employed full-time,107750,100,Pop,225
43,Male,Employed full-time,10950,339,Indie,177
43,Male,Employed full-time,100850,1189,Classical,233
35,Female,Employed full-time,108150,833,Classical,210
20,Male,Employed full-time,17250,1203,Indie,189
48,Female,Employed full-time,37450,1462,Jazz,259
17,Male,Student,27300,1516,Classical,180
35,Female,Unemployed,11000,589,Pop,201
43,Male,Employed full-time,106850,2046,Classical,226
24,Female,Student,126150,144,Pop,137
17,Female,Student,18100,436,Pop,139
38,Female,Employed full-time,3750,664,Rock,130
34,Female,Unemployed,11150,1315,Country,248
48,Female,Employed full-time,46400,10,Pop,164
42,Female,Employed full-time,22650,2254,Country,148
34,Female,Student,29250,1365,Hip Hop,180
18,Female,Student,6200,268,Classical,211
39,Female,Employed full-time,19350,1324,Rock,184
16,Female,Student,23750,10,Classical,143
40,Female,Employed full-time,19950,2248,Country,255
37,Female,Employed full-time,102650,34,Pop,160
29,Male,Student,28500,1331,Indie,210
31,Male,Employed full-time,57200,1310,Pop,195
30,Male,Employed full-time,23550,1716,Pop,269
55,Female,Employed full-time,15950,2581,Pop,207
36,Male,Employed full-time,96950,718,Indie,230
38,Male,Employed part-time,17000,2212,Jazz,135
59,Female,Employed part-time,24000,251,Pop,138
38,Male,Employed full-time,92550,1060,Country,150
31,Male,Employed part-time,19050,1089,Rock,189
36,Male,Employed full-time,132550,982,Country,218
30,Female,Employed full-time,174750,2334,Pop,157
23,Male,Employed full-time,170100,954,Pop,206
40,Male,Student,31500,2056,Classical,228
40,Female,Employed full-time,115250,1626,Indie,135
38,Male,Employed full-time,15150,522,Classical,185
28,Female,Employed full-time,4250,726,Country,179
42,Male,Employed full-time,193050,1868,Rock,221
20,Female,Student,180900,1664,Jazz,122
17,Female,Student,27350,717,Pop,210
50,Male,Employed part-time,128400,1342,Jazz,158
37,Male,Employed full-time,181250,1851,Pop,107
36,Female,Unemployed,54500,2786,Rock,220
49,Male,Employed part-time,6700,1550,Classical,255
36,Male,Employed part-time,53450,2112,Rock,178
24,Male,Student,2250,334,Pop,147
29,Female,Employed full-time,9550,2739,Pop,119
19,Male,Employed full-time,7000,956,Rock,185
19,Female,Employed full-time,21100,521,Country,227
34,Female,Unemployed,550,2966,Indie,158
17,Female,Student,9900,1053,Classical,180
21,Male,Employed full-time,27250,295,Pop,131
27,Female,Employed full-time,28150,1367,Rock,214
47,Male,Employed full-time,159600,52,Pop,153
50,Female,Employed full-time,5450,1805,Pop,171
32,Male,Employed full-time,27700,1437,Pop,196
45,Male,Employed full-time,14850,764,Classical,202
16,Female,Student,26750,283,Hip Hop,206
21,Male,Employed part-time,108050,1369,Country,77
48,Female,Employed full-time,12200,1563,Pop,179
20,Male,Unemployed,24150,2762,Pop,154
35,Female,Employed part-time,23500,2142,Classical,218
20,Male,Employed full-time,102550,344,Rock,269
25,Female,Unemployed,93300,1858,Pop,204
49,Male,Employed full-time,8500,590,Country,139
27,Female,Employed full-time,25200,129,Rock,214
16,Male,Student,24600,279,Country,175
40,Female,Employed full-time,14850,1717,Rock,111
22,Male,Employed full-time,104950,1616,Country,177
47,Female,Employed full-time,117650,370,Pop,223
32,Female,Employed full-time,102400,1721,Pop,165
18,Female,Unemployed,46900,54,Pop,231
41,Male,Employed part-time,159650,2899,Classical,215
49,Male,Employed full-time,106300,1901,Pop,241
33,Other,Employed full-time,23000,2736,Pop,155
32,Female,Student,13300,1701,Classical,125
23,Male,Employed full-time,52150,309,Classical,96
47,Female,Student,10350,2368,Country,177
31,Male,Employed full-time,162050,2698,Rock,150
48,Female,Employed full-time,108600,917,Rock,201
29,Male,Employed full-time,4400,2204,Rock,220
31,Female,Employed full-time,116450,1056,Pop,158
17,Prefer not to say,Student,5100,2330,Rock,194
18,Female,Employed part-time,1650,1856,Classical,159
37,Female,Employed full-time,23350,1098,Country,153
43,Female,Employed full-time,109900,251,Country,164
41,Male,Employed full-time,143150,857,Pop,94
29,Male,Unemployed,35600,249,Pop,177
25,Male,Student,25150,1564,Pop,161
43,Female,Employed full-time,48150,1137,Indie,210
29,Male,Employed full-time,37250,2901,Country,244
42,Male,Employed full-time,150550,2722,Country,163
35,Female,Employed full-time,51450,2926,Classical,179
32,Male,Employed full-time,130300,877,Indie,144
36,Male,Employed full-time,43950,2678,Pop,193
26,Female,Student,20550,1774,Country,164
17,Female,Student,20700,2170,Rock,217
29,Female,Employed full-time,105100,57,Indie,234
47,Female,Employed full-time,147250,2950,Classical,164
22,Male,Employed full-time,29600,1027,Indie,172
34,Male,Employed full-time,112100,1835,Pop,277
45,Female,Employed full-time,44000,500,Pop,169
25,Female,Employed full-time,132050,1690,Rock,180
24,Male,Student,24200,276,Pop,209
43,Male,Employed part-time,161700,1476,Indie,232
34,Female,Unemployed,20950,24,Jazz,140
25,Male,Employed full-time,15750,183,Jazz,176
16,Male,Student,15700,193,Pop,268
32,Male,Employed full-time,94150,2539,Classical,157
48,Female,Student,104500,1563,Classical,144
29,Female,Employed full-time,31100,152,Rock,130
40,Male,Employed full-time,26450,1504,Classical,104
26,Male,Employed full-time,57700,347,Classical,138
34,Male,Employed full-time,9300,1556,Rock,196
22,Male,Employed full-time,29900,2305,Rock,155
28,Male,Student,29400,1887,Jazz,138
34,Male,Unemployed,92650,337,Pop,165
44,Male,Employed full-time,115500,242,Pop,175
22,Female,Employed part-time,6100,353,Rock,121
34,Male,Employed part-time,22150,2496,Pop,148
29,Female,Employed full-time,17450,179,Classical,176
27,Male,Employed full-time,12050,43,Indie,159
30,Female,Employed full-time,26200,1072,Pop,184
38,Male,Student,45750,1455,Pop,136
36,Female,Employed full-time,116500,2810,Classical,226
33,Male,Employed full-time,16700,1380,Pop,124
48,Female,Employed full-time,179250,1526,Pop,181
49,Male,Employed full-time,14700,693,Pop,182
17,Female,Student,28750,142,Rock,160
19,Female,Employed full-time,106700,110,Rock,188
16,Female,Student,21250,24,Rock,222
19,Female,Student,12900,1253,Pop,173
30,Female,Employed full-time,3200,2365,Country,120
22,Female,Unemployed,111950,58,Pop,245
17,Prefer not to say,Student,152600,340,Classical,156
37,Female,Employed full-time,148550,1204,Rock,181
18,Male,Student,37100,2016,Rock,160
40,Female,Employed part-time,183550,1460,Pop,229
32,Male,Student,24450,310,Classical,108
30,Male,Unemployed,14400,17,Pop,217
50,Female,Employed full-time,13600,2486,Pop,218
28,Male,Student,22850,228,Country,220
48,Male,Employed part-time,16500,904,Classical,156
38,Female,Employed full-time,109200,608,Pop,167
42,Male,Employed full-time,34950,424,Classical,238
16,Male,Student,11050,520,Pop,271
19,Female,Student,18650,481,Pop,240
16,Male,Student,2800,2609,Country,175
19,Female,Student,33550,2032,Indie,194
33,Male,Employed full-time,1850,1985,Jazz,104
36,Male,Employed part-time,18850,27,Pop,79
34,Male,Employed full-time,11400,86,Pop,149
18,Female,Employed full-time,19950,1990,Pop,229
32,Male,Employed full-time,15950,2153,Pop,102
38,Female,Unemployed,1500,23,Pop,168
42,Female,Employed full-time,118800,1289,Country,173
48,Male,Employed full-time,103100,109,Pop,164
18,Male,Employed full-time,102750,249,Pop,158
21,Female,Employed full-time,94000,251,Country,140
41,Female,Employed full-time,23800,2132,Classical,206
44,Female,Employed full-time,118800,95,Classical,183
22,Female,Student,8250,31,Pop,191
35,Male,Employed full-time,20500,2425,Rock,93
29,Male,Employed full-time,26350,2773,Pop,148
